Year,Pond,Average_Larval_Density,Metamorph_Estimate,Drift_Fence_Actual_Count,Metamorph Productivity,log_larv_density,log_metamorph_estimate,log_drift_fence_actual,log_productivity_estimate
2021,Calabasas ,0.127272727,270.4983051,0,0,-0.863751165,2.433767123,0,-0.707303864
2021,Delaney,0,0,2,0.415714824,-2.018700501,0,0.477121255,-0.213309945
2021,Ellicott (Inner),0.257142857,71.54186455,12,2.387519732,-0.573942136,1.860588714,1.113943352,0.412245184
2021,Millsap 1,0,0,1,0.196198705,-2.018700501,0,0.301029996,-0.406273868
2021,Prospect,2.728571429,2189.188321,12,2.310204093,0.437457231,3.340481459,1.113943352,0.399050867
2021,Seascape 1,0.173267327,115.4202752,1,0.213379958,-0.737914842,2.066028621,0.301029996,-0.387662676
2021,Seascape 3,0.853658537,273.4184084,0,0,-0.063869912,2.438413241,0,-0.707303864
2021,Upper Cattail,0,0,8,1.608861074,-2.018700501,0,0.954242509,0.256491589
2021,Valencia Lagoon,0.762711864,2829.213796,2,0,-0.112219359,3.451819244,0.477121255,-0.707303864
2022,Calabasas ,0.335820896,713.7348694,0,0,-0.461678371,2.85414497,0,-0.707303864
2022,Delaney,0,0,4,0.826520719,-2.018700501,0,0.698970004,0.009756504
2022,Ellicott (Inner),0.199134199,55.40279072,50,62.60741579,-0.680451034,1.751300593,1.707570176,1.797984639
2022,Millsap 1,0,0,2,2.673147926,-2.018700501,0,0.477121255,0.457783016
2022,Prospect,3.028571429,2429.884419,121,0.409578663,0.482609208,3.38576431,2.086359831,-0.217686956
2022,Seascape 1,0.050432277,57.59134387,46,24.02982859,-1.221770432,1.767833459,1.672097858,1.384282202
2022,Seascape 3,0.246478873,135.3338599,20,9.3884012,-0.59166264,2.134603731,1.322219295,0.981573989
2022,Upper Cattail,0.071428571,13.99474053,2,4.127694667,-1.091476835,1.175938955,0.477121255,0.635874976
2022,Valencia Lagoon,0,0,0,0.416942057,-2.018700501,0,0,-0.212439811
2022,Long Valley,0,0,14,1.894647741,-2.018700501,0,1.176091259,0.320322139
2023,Buena Vista 1,0,0,2,0.435350542,-2.018700501,0,0.477121255,-0.199592778
2023,Calabasas ,0.095070423,221.5030348,43,8.334684022,-0.980265054,2.347335939,1.643452676,0.930993972
2023,Delaney,0.169721656,25.4665267,24,5.137073007,-0.746419226,1.422696951,1.397940009,0.72699371
2023,Ellicott,0,0,2,10.19405897,-2.018700501,0,0.477121255,1.016626318
2023,Millsap 1,0,0,0,0,-2.018700501,0,0,-0.707303864
2023,Prospect,0,0,1,0.203562099,-2.018700501,0,0.301029996,-0.39819979
2023,Seascape 1,0.222419929,189.4625137,127,23.58268114,-0.634514874,2.279809512,2.10720997,1.376191392
2023,Seascape 3,0.083732057,44.78163824,38,7.329621267,-1.030069013,1.660691329,1.591064607,0.876553825
2023,Upper Cattail,0.071580064,84.79384652,67,14.05972405,-1.090665412,1.93345614,1.832508913,1.153995334
2023,Valencia Lagoon,0.165447025,539.4797688,9,0.41289219,-0.756898502,2.732779442,1,-0.215317893
2024,Buena Vista 1,0.100624566,37.41776096,15,3.168791326,-0.957806149,1.58453205,1.204119983,0.526983782
2024,Calabasas ,0.069332101,88.22777371,46,8.911007814,-1.102864407,1.950500057,1.672097858,0.959385185
2024,Delaney,0.009578544,1.249455384,6,1.241867374,-1.717670506,0.352077384,0.84509804,0.157778842
2024,Ellicott,0.176168339,521.9442557,306,0.209698261,-0.731078465,2.718455397,2.487138375,-0.391584195
2024,Millsap 1,0,0,1,0.20589384,-2.018700501,0,0.301029996,-0.395673979
2024,Prospect,0.070082165,22.79137427,71,15.17194446,-1.098755833,1.376419529,1.857332496,1.186621398
2024,Seascape 1,0,0,20,4.176415792,-2.018700501,0,1.322219295,0.64074119
2024,Seascape 3,0.27,63.55487133,29,5.498349941,-0.553496161,1.80992902,1.477121255,0.755459307
2024,Upper Cattail,0.05599711,40.62606399,107,12.62334035,-1.183257369,1.619365348,2.033423755,1.10787241
2024,Valencia,0,0,2,0.400988036,-2.018700501,0,0.477121255,-0.223889843
