pond,Latitude,Longitude,2021 Density (larvae/m^2),2022 Density (larvae/m^2),2023 Density (larvae/m^2),2024 Density (larvae/m^2),Mean Density
Alexander,36.8253,-121.72551,-,-,0,-,0
Buena Vista 1,36.9299,-121.8266,-,0,0,0.100624566,0.033541522
Buena Vista 2,36.9356,-121.8286,-,0,0.069767442,1.25,0.439922481
Calabasas ,36.9568,-121.8461,0.127272727,0.335820896,0.095070423,0.069332101,0.156874037
Caltrans 1,36.7769,-121.7392,-,-,0,-,0
Caltrans 2,36.7764,-121.7399,-,-,0,-,0
Caltrans 3,36.7773,-121.7405,-,-,0,-,0
Caltrans 4,36.7778,-121.7407,-,-,0,-,0
Caltrans 5,36.7783,-121.7411,-,-,0,-,0
Caltrans 6,36.7785,-121.7413,-,-,0,-,0
Carneros 1,36.8612,-121.7193,-,-,0.133101852,0.164473684,0.148787768
Carneros 2,36.8612,-121.7207,-,-,0.022970904,0.084889643,0.053930274
Cecil,36.8587,-121.7316,-,0,0,0,0
Central,36.7816,-121.7339,-,0,0,0,0
Corralitos,36.9662,-121.8148,-,-,0,-,0
Delaney,36.9235,-121.833,0,0,0.169721656,0.009578544,0.04482505
Ellicott,36.9234,-121.8398,0.257142857,0.199134199,0,0.176168339,0.158111349
Hidden,36.8545,-121.7319,-,0,0,0,0
Hix,36.8263,-121.7286,-,0,0,0,0
Howell,36.8269,-121.7299,0,0,0,0,0
Long Valley,36.814,-121.7286,-,0,0,0.048283262,0.016094421
Lower Cattail,36.8206,-121.7313,-,0,0.005399568,0,0.001799856
McClusky Slough,36.8393,-121.7896,0,0,0,0,0
Merk,36.9708,-121.8113,-,-,0,0,0
Millsap 1,36.9711,-121.8307,0,0,0,0,0
Millsap 2,36.9704,-121.8304,0,0.886287625,0.251396648,0,0.284421068
North County Parks,36.7849,-121.7242,-,-,0.055305203,0.040268456,0.04778683
North Moro Cojo,36.7911,-121.7392,-,-,0,0,0
Oxbow,36.8576,-121.714,0,0,0.005955926,0.048746518,0.013675611
Pig,36.8537,-121.7297,-,-,-,0,0
Pond N,36.8586,-121.7147,0.422110553,0.225733634,0.888157895,0.033409898,0.392352995
Pond O,36.8597,-121.7148,-,-,0.316686967,0.238636364,0.277661666
Pond R,36.8584,-121.7127,0.444444444,0,1.398305085,0.102986612,0.486434035
Pond S,36.8595,-121.712,0.717948718,0,1.41509434,0.310650888,0.610923487
Prospect,36.9213,-121.8364,2.728571429,3.028571429,0,0.070082165,1.456806256
Racehorse,36.9671,-121.8605,-,-,0.304,0.062466051,0.183233026
Rush,36.8494,-121.7302,0,0,0,0,0
Seascape 1,36.9586,-121.8709,0.173267327,0.050432277,0.222419929,0,0.111529883
Seascape 2,36.9554,-121.8692,0.033783784,0.065406977,0.348837209,0.08203125,0.132514805
Seascape 3,36.959,-121.8664,0.853658537,0.246478873,0.083732057,0.27,0.363467367
Shadowmere,36.9802,-121.8567,-,-,0,0,0
South Finger,36.7835,-121.7405,-,-,0,-,0
South Moro Cojo,36.7757,-121.7321,0.032653061,0.004960317,0,0,0.009403345
Suess,36.9555,-121.8454,-,0.15625,0.406626506,0.010775862,0.191217456
Swimming Pool,36.8243,-121.7351,-,0,0,0,0
Tucker,36.9818,-121.8472,0,0,0.132517839,0,0.03312946
Upper Cattail,36.8205,-121.7299,0,0.071428571,0.071580064,0.05599711,0.049751436
Valencia,36.9731,-121.8826,0.762711864,0,0.165447025,0,0.232039722
Visitor Center,36.8167,-121.7317,0,0,0,0,0
Willow Canyon,36.964,-121.8755,3.1,3.866666667,2.083333333,0.139891697,2.297472924
Zmudowski,36.8324,-121.799,0,0,0,0,0
